,,,,,,,,,,
Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
2022,ALASKA,FLATFISHES **,"40,804,043","18,509","7,087,669",Public,Commercial,Pleuronectiformes,172702,AKFIN
2022,ALASKA,"FLOUNDER, ARROWTOOTH","37,493,970","17,007","4,740,543",Public,Commercial,Atheresthes stomias,172862,AKFIN
2022,ALASKA,"HALIBUT, GREENLAND","3,094,350","1,404","1,907,726",Public,Commercial,Reinhardtius hippoglossoides,172930,AKFIN
2022,ALASKA,"HALIBUT, PACIFIC","23,935,255","10,857","130,834,062",Public,Commercial,Hippoglossus stenolepis,172932,AKFIN
2022,ALASKA,"HERRING, PACIFIC","94,148,988","42,706","14,492,439",Public,Commercial,Clupea pallasii,551209,AKFIN
2022,ALASKA,LINGCOD,"548,005",249,"664,470",Public,Commercial,Ophiodon elongatus,167116,AKFIN
2022,ALASKA,"MACKEREL, ATKA","128,425,013","58,253","31,525,400",Public,Commercial,Pleurogrammus monopterygius,167120,AKFIN
2022,ALASKA,OCTOPUSES **,"297,804",135,"220,725",Public,Commercial,Octopodidae,82590,AKFIN
2022,ALASKA,"POLLOCK, WALLEYE ","2,703,904,515","1,226,483","512,993,680",Public,Commercial,Gadus chalcogrammus,934083,AKFIN
2022,ALASKA,"ROCKFISH, PACIFIC OCEAN PERCH","136,793,659","62,049","25,261,776",Public,Commercial,Sebastes alutus,166707,AKFIN
2022,ALASKA,"ROCKFISH, WIDOW","187,754",85,"20,242",Public,Commercial,Sebastes entomelas,166719,AKFIN
2022,ALASKA,ROCKFISHES **,"32,964,673","14,953","6,741,397",Public,Commercial,Sebastes ,166705,AKFIN
2022,ALASKA,SABLEFISH,"55,489,414","25,170","147,334,505",Public,Commercial,Anoplopoma fimbria,167123,AKFIN
2022,ALASKA,"SALMON, CHINOOK","3,552,806","1,612","20,439,536",Public,Commercial,Oncorhynchus tshawytscha,161980,AKFIN
2022,ALASKA,"SALMON, CHUM","82,158,493","37,267","86,766,117",Public,Commercial,Oncorhynchus keta,161976,AKFIN
2022,ALASKA,"SALMON, COHO","10,048,225","4,558","15,876,806",Public,Commercial,Oncorhynchus kisutch,161977,AKFIN
2022,ALASKA,"SALMON, PACIFIC **",220,0,"9,477",Public,Commercial,Oncorhynchus,161974,AKFIN
2022,ALASKA,"SALMON, PINK","216,247,769","98,089","108,569,843",Public,Commercial,Oncorhynchus gorbuscha,161975,AKFIN
2022,ALASKA,"SALMON, SOCKEYE","381,177,520","172,901","545,255,884",Public,Commercial,Oncorhynchus nerka,161979,AKFIN
2022,ALASKA,"SCALLOP, WEATHERVANE","170,440",77,"1,675,743",Public,Commercial,Patinopecten caurinus,79757,AKFIN
2022,ALASKA,"SHARK, DOGFISH, SPINY","16,439",7,"1,231",Public,Commercial,Squalus acanthias,160617,AKFIN
2022,ALASKA,"SHRIMPS, PENAEID **","978,381",444,"1,027,854",Public,Commercial,Penaeidae,95602,AKFIN
2022,ALASKA,"SKATES, RAJIDAE (FAMILY) **","28,447,105","12,904","1,100,269",Public,Commercial,Rajidae,160845,AKFIN
2022,ALASKA,"SOLE, BUTTER","634,718",288,"49,611",Public,Commercial,Isopsetta isolepis,172919,AKFIN
2022,ALASKA,"SOLE, ENGLISH","43,180",20,"2,141",Public,Commercial,Parophrys vetulus,172921,AKFIN
2022,ALASKA,"SOLE, FLATHEAD","31,172,038","14,140","5,759,876",Public,Commercial,Hippoglossoides elassodon,172875,AKFIN
2022,ALASKA,"SOLE, REX","3,127,401","1,419","698,264",Public,Commercial,Glyptocephalus zachirus,172978,AKFIN
2022,ALASKA,"SOLE, ROCK","40,322,803","18,290","7,769,777",Public,Commercial,Paraplagusia bilineata,173105,AKFIN
2022,ALASKA,"SOLE, YELLOWFIN","333,985,736","151,495","61,941,179",Public,Commercial,Limanda aspera,172907,AKFIN
2022,ALASKA,"URCHINS, SEA, STRONGYLOCENTROTUS (GENUS) **","13,599",6,"11,101",Public,Commercial,Strongylocentrotus,157968,AKFIN
